Label;# Samples;Average;Min;Max;Std. Dev.;Error %;Throughput;Received KB/sec;Sent KB/sec;Avg. Bytes
test/autenticacion2/authentication-ui/assets/svg/countries/gu.svg-922;150;335;0;4190;663.81;0.00%;3.56964;55.18;2.29;15830
test/autenticacion2/authentication-ui/assets/svg/countries/gf.svg-926;150;139;0;3045;369.38;0.00%;3.56913;1.69;2.29;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/gt.svg-925;150;487;0;4188;698.23;0.00%;3.47947;163.51;2.23;48121
test/autenticacion2/authentication-ui/assets/svg/countries/gn.svg-929;150;119;0;3038;345.56;0.00%;3.47963;1.77;2.23;521
test/autenticacion2/authentication-ui/assets/svg/countries/gw.svg-928;150;92;0;1047;238.63;0.00%;3.47963;3.18;2.23;937
test/autenticacion2/authentication-ui/assets/svg/countries/gg.svg-927;150;104;0;1053;262.13;0.00%;3.4785;2.77;2.23;814
test/autenticacion2/authentication-ui/assets/svg/countries/gq.svg-930;150;225;0;3073;519.18;0.00%;3.32064;27.47;2.13;8472
test/autenticacion2/authentication-ui/assets/svg/countries/gy.svg-931;150;171;0;1105;349.66;0.00%;3.32035;2.19;2.13;673.9
test/autenticacion2/authentication-ui/assets/svg/countries/ht.svg-932;150;688;0;4435;931.66;0.00%;3.20075;294.93;2.05;94355
test/autenticacion2/authentication-ui/assets/svg/countries/hk.svg-935;150;98;0;1052;240.49;0.00%;3.17085;3.91;2.03;1262
test/autenticacion2/authentication-ui/assets/svg/countries/hn.svg-933;150;93;0;1044;238.46;0.00%;3.16971;2.5;2.03;809
test/autenticacion2/authentication-ui/assets/svg/countries/id.svg-937;150;115;0;3041;339.99;0.00%;3.13827;1.36;2.01;444
test/autenticacion2/authentication-ui/assets/svg/countries/hu.svg-934;150;102;0;1046;253;0.00%;3.1054;1.47;1.99;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/in.svg-936;150;192;0;3038;420.18;0.00%;3.11352;3.34;2;1097
test/autenticacion2/authentication-ui/assets/svg/countries/iq.svg-938;150;116;0;1509;287.52;0.00%;3.02078;7.92;1.94;2684
test/autenticacion2/authentication-ui/assets/svg/countries/is.svg-942;150;131;0;1057;302.66;0.00%;3.02127;1.58;1.94;534
test/autenticacion2/authentication-ui/assets/svg/countries/cx.svg-940;150;177;0;3124;425.85;0.00%;3.00192;12.61;1.93;4302
test/autenticacion2/authentication-ui/assets/svg/countries/ie.svg-941;150;139;0;3043;369.65;0.00%;2.98537;1.42;1.92;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/im.svg-943;150;166;0;3043;429.05;0.00%;2.96742;15.83;1.9;5462.9
test/autenticacion2/authentication-ui/assets/svg/countries/nf.svg-939;150;434;0;3150;714.62;0.00%;2.95014;68.92;1.89;23922
test/autenticacion2/authentication-ui/assets/svg/countries/ax.svg-944;150;94;0;1073;231.28;0.00%;2.93123;1.61;1.88;563
test/autenticacion2/authentication-ui/assets/svg/countries/fo.svg-946;150;74;0;1111;192.11;0.00%;2.92278;1.82;1.88;638
test/autenticacion2/authentication-ui/assets/svg/countries/ck.svg-948;150;139;0;1126;299.26;0.00%;2.90192;3.87;1.86;1365.9
test/autenticacion2/authentication-ui/assets/svg/countries/cc.svg-947;150;240;0;3100;507.84;0.00%;2.87654;14.98;1.85;5332.9
test/autenticacion2/authentication-ui/assets/svg/countries/ky.svg-945;150;430;0;4152;707.68;0.00%;2.84781;97.78;1.83;35158
test/autenticacion2/authentication-ui/assets/svg/countries/mh.svg-951;150;117;0;3107;339.39;0.00%;2.82056;2.96;1.81;1075
test/autenticacion2/authentication-ui/assets/svg/countries/sb.svg-952;150;144;0;3039;385.85;0.00%;2.74138;3.21;1.76;1200
test/autenticacion2/authentication-ui/assets/svg/countries/re.svg-953;150;153;0;3088;430.85;0.00%;2.71542;1.29;1.74;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/tc.svg-954;150;285;0;7077;725.78;0.00%;2.63579;17.29;1.69;6715.9
test/autenticacion2/authentication-ui/assets/svg/countries/mp.svg-950;150;1159;0;5667;1238.57;0.00%;2.51324;952.61;1.61;388135
test/autenticacion2/authentication-ui/assets/svg/countries/fk.svg-949;150;309;0;4142;649.76;0.00%;2.46386;249.36;1.58;103635
test/autenticacion2/authentication-ui/assets/svg/countries/il.svg-956;150;118;0;2805;331.73;0.00%;2.44383;1.53;1.57;641
test/autenticacion2/authentication-ui/assets/svg/countries/vg.svg-955;150;162;0;2107;355.93;0.00%;2.42377;35.56;1.56;15024
test/autenticacion2/authentication-ui/assets/svg/countries/vi.svg-957;150;173;0;3090;410.91;0.00%;2.40477;47.78;1.54;20345
test/autenticacion2/authentication-ui/assets/svg/countries/it.svg-958;150;111;0;3044;341.77;0.00%;2.40466;1.14;1.54;486
test/autenticacion2/authentication-ui/assets/svg/countries/ly.svg-959;150;142;0;1688;320.83;0.00%;2.34225;1.75;1.5;764.9
test/autenticacion2/authentication-ui/assets/svg/countries/jm.svg-960;150;158;0;5346;509;0.00%;2.16076;1.18;1.39;559
test/autenticacion2/authentication-ui/assets/svg/countries/je.svg-962;150;179;0;4075;511.65;0.00%;2.14525;13.58;1.38;6482
test/autenticacion2/authentication-ui/assets/svg/countries/jo.svg-963;150;158;0;3341;444.72;0.00%;2.14869;1.93;1.38;919
test/autenticacion2/authentication-ui/assets/svg/countries/jp.svg-961;150;157;0;3043;414.13;0.00%;2.13408;0.99;1.37;477
test/autenticacion2/authentication-ui/assets/svg/countries/ke.svg-965;150;103;0;1511;252.5;0.00%;2.1338;3.38;1.37;1620
test/autenticacion2/authentication-ui/assets/svg/countries/kz.svg-964;150;182;0;3059;430.02;0.00%;2.08409;22.99;1.34;11296.9
test/autenticacion2/authentication-ui/assets/svg/countries/kg.svg-966;150;203;0;2076;384.55;0.00%;2.05418;26.81;1.32;13363
test/autenticacion2/authentication-ui/assets/svg/countries/kw.svg-968;150;150;0;1538;311.73;0.00%;2.04043;1.11;1.31;558
test/autenticacion2/authentication-ui/assets/svg/countries/ki.svg-967;150;273;0;4875;636.96;0.00%;2.04037;8.43;1.31;4229.9
test/autenticacion2/authentication-ui/assets/svg/countries/ls.svg-969;150;181;0;3112;444.58;0.00%;2.02446;4.63;1.3;2344
test/autenticacion2/authentication-ui/assets/svg/countries/lv.svg-970;150;363;0;23034;2022.98;0.00%;2.01461;0.88;1.29;449
test/autenticacion2/authentication-ui/assets/svg/countries/lb.svg-971;150;216;0;3099;435.12;0.00%;2.01461;21.09;1.29;10720
test/autenticacion2/authentication-ui/assets/svg/countries/lr.svg-972;150;220;0;3088;515.22;0.00%;2.01488;2.02;1.29;1026
test/autenticacion2/authentication-ui/assets/svg/countries/lt.svg-974;150;242;0;3820;485.41;0.00%;2.00559;0.96;1.29;489
test/autenticacion2/authentication-ui/assets/svg/countries/lu.svg-975;150;212;0;3045;432.09;0.00%;1.99179;0.95;1.28;490
test/autenticacion2/authentication-ui/assets/svg/countries/li.svg-973;150;422;0;3522;686.74;0.00%;1.98549;46.2;1.27;23825
test/autenticacion2/authentication-ui/assets/svg/countries/my.svg-977;150;139;0;1518;285.47;0.00%;1.97694;1.76;1.27;913
test/autenticacion2/authentication-ui/assets/svg/countries/mg.svg-978;150;188;0;3043;397.2;0.00%;1.97371;0.94;1.27;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/mo.svg-976;150;234;0;2110;446.02;0.00%;1.96482;5.03;1.26;2622
test/autenticacion2/authentication-ui/assets/svg/countries/mw.svg-979;150;213;0;3042;455.69;0.00%;1.96122;2.2;1.26;1151
test/autenticacion2/authentication-ui/assets/svg/countries/ml.svg-981;150;189;0;3836;426.06;0.00%;1.95379;1;1.25;524.9
test/autenticacion2/authentication-ui/assets/svg/countries/mv.svg-980;150;205;0;3039;412.72;0.00%;1.95351;1.06;1.25;556
test/autenticacion2/authentication-ui/assets/svg/countries/mq.svg-983;150;160;0;1090;296.56;0.00%;1.94998;0.93;1.25;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/ma.svg-984;150;194;0;4467;463.08;0.00%;1.93673;0.99;1.24;524
test/autenticacion2/authentication-ui/assets/svg/countries/mt.svg-982;150;424;0;5881;865.38;0.00%;1.92359;28.65;1.23;15253.9
test/autenticacion2/authentication-ui/assets/svg/countries/mu.svg-985;150;167;0;2012;325.78;0.00%;1.91178;0.98;1.23;526.9
test/autenticacion2/authentication-ui/assets/svg/countries/yt.svg-987;150;178;0;1512;325.79;0.00%;1.9117;0.91;1.23;485.9
test/autenticacion2/authentication-ui/assets/svg/countries/mr.svg-986;150;175;0;4608;483.34;0.00%;1.90305;1.19;1.22;638.9
test/autenticacion2/authentication-ui/assets/svg/countries/mc.svg-989;150;250;0;4467;578.83;0.00%;1.90285;0.83;1.22;447.9
test/autenticacion2/authentication-ui/assets/svg/countries/mn.svg-990;150;255;0;3086;476.87;0.00%;1.89017;4.53;1.21;2451.9
test/autenticacion2/authentication-ui/assets/svg/countries/ms.svg-991;150;292;0;3068;540.68;0.00%;1.89005;17.07;1.21;9250.9
test/autenticacion2/authentication-ui/assets/svg/countries/mz.svg-993;150;294;0;9632;921.58;0.00%;1.87923;9.35;1.21;5096
