Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
test/autenticacion2/authentication-ui/assets/svg/countries/cl.svg-885,150,125,0,3045,408.93,0.000%,5.16600,4.34,3.31,861.0
test/autenticacion2/authentication-ui/assets/svg/countries/cy.svg-886,150,225,0,4065,581.05,0.000%,5.13277,52.11,3.29,10396.0
test/autenticacion2/authentication-ui/assets/svg/countries/co.svg-887,150,151,0,3042,433.24,0.000%,5.13189,2.55,3.29,509.0
test/autenticacion2/authentication-ui/assets/svg/countries/cg.svg-889,150,103,0,1042,261.89,0.000%,4.96245,2.72,3.18,561.0
test/autenticacion2/authentication-ui/assets/svg/countries/km.svg-888,150,196,0,3044,469.18,0.000%,4.80277,4.81,3.08,1025.0
test/autenticacion2/authentication-ui/assets/svg/countries/ci.svg-891,150,150,0,3045,432.34,0.000%,4.80184,2.28,3.08,485.9
test/autenticacion2/authentication-ui/assets/svg/countries/kr.svg-890,150,165,0,1061,342.13,0.000%,4.80246,4.16,3.08,886.0
test/autenticacion2/authentication-ui/assets/svg/countries/cu.svg-894,150,178,0,3034,406.84,0.000%,4.80184,3.09,3.08,658.9
test/autenticacion2/authentication-ui/assets/svg/countries/dk.svg-895,150,214,0,3057,495.94,0.000%,4.67450,2.43,3.00,533.0
test/autenticacion2/authentication-ui/assets/svg/countries/cr.svg-892,150,500,0,4215,701.95,0.000%,4.51250,311.68,2.90,70728.0
test/autenticacion2/authentication-ui/assets/svg/countries/hr.svg-893,150,575,0,5264,974.96,0.000%,4.48632,299.60,2.88,68383.0
test/autenticacion2/authentication-ui/assets/svg/countries/dm.svg-896,150,176,0,3059,472.24,0.000%,4.35426,46.30,2.79,10888.0
test/autenticacion2/authentication-ui/assets/svg/countries/ae.svg-900,150,102,0,3039,329.91,0.000%,4.35300,2.17,2.79,511.0
test/autenticacion2/authentication-ui/assets/svg/countries/er.svg-901,150,179,0,3042,441.12,0.000%,4.35148,29.86,2.79,7027.0
test/autenticacion2/authentication-ui/assets/svg/countries/ec.svg-897,150,897,0,5288,1144.16,0.000%,4.19733,726.88,2.69,177331.9
test/autenticacion2/authentication-ui/assets/svg/countries/eg.svg-899,150,119,0,2131,287.88,0.000%,4.19698,97.32,2.69,23743.9
test/autenticacion2/authentication-ui/assets/svg/countries/sk.svg-902,150,139,0,3041,389.54,0.000%,4.08063,7.99,2.62,2006.0
test/autenticacion2/authentication-ui/assets/svg/countries/sv.svg-898,150,862,0,6621,1145.72,0.000%,3.94063,931.30,2.53,242003.9
test/autenticacion2/authentication-ui/assets/svg/countries/si.svg-903,150,155,0,2130,389.72,0.000%,3.95486,10.45,2.54,2704.9
test/autenticacion2/authentication-ui/assets/svg/countries/fm.svg-905,150,99,0,1067,250.79,0.000%,3.95413,3.98,2.54,1031.9
test/autenticacion2/authentication-ui/assets/svg/countries/us.svg-906,150,118,0,3046,347.93,0.000%,3.95549,4.16,2.54,1076.0
