Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
OLCE/olce-wp/categoria-indicador/flujos-y-comercio-exterior-844,436,41801,0,82394,10335.06,0.000%,.53216,13.71,0.98,26390.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-846,440,20030,0,40638,6026.43,0.000%,.53397,0.62,0.43,1179.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-848,443,18925,0,36169,5905.61,0.000%,.53452,0.53,0.43,1023.6
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-847,446,18628,0,37446,6103.22,0.000%,.53621,0.57,0.43,1083.3
OLCE/olce-wp/indicador/distribucion-de-las-exportaciones-por-sector-economico-en-peso/-849,440,20065,0,47343,6667.30,0.000%,.52761,11.65,0.49,22612.4
OLCE/vuce-olce-ui/indicador-nacional/2.1.1-851,445,230,0,15074,1149.28,0.000%,.53371,2.25,0.47,4312.4
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/575/feedback/schema-852,450,17557,0,39970,6675.91,0.000%,.53897,0.49,0.44,922.7
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.1.1-855,435,522,0,15115,2004.54,0.000%,.52060,0.71,0.47,1389.0
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/574/feedback/schema-854,448,15935,0,41945,7638.07,0.000%,.53610,0.54,0.44,1038.5
OLCE/olce-wp/wp-json/contact-form-7/v1/contact-forms/573/feedback/schema-853,446,14891,0,39720,7663.01,0.000%,.53367,0.59,0.44,1135.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.1.1-856,448,193,0,15287,1250.79,0.000%,.53601,4.08,1.53,7795.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/2.1.1-857,449,34,0,1067,52.86,0.000%,.53721,0.73,0.49,1389.9
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/2.1.1-858,449,60,0,345,33.58,0.000%,.53710,4.09,1.54,7796.0
OLCE/pass-through-https-cert/vuce-olce-api/v1/indicador/table/2.1.1-859,449,224,0,7372,380.18,0.000%,.53690,154.44,1.54,294550.6
TOTAL,36990,13338,0,98860,14174.17,0.000%,23.79816,550.26,28.55,23676.9
