Etiqueta,# Muestras,% Error,Apdex Value,Apdex Target (s),Apdex Rating,Small Group,Failed
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/move-messages?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-183,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-115,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-124,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-132,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-133,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-139,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-167,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-168,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session-177,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-166,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____MS&t=ZQ%3D%3D-176,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-123,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR&code=MR_____PARENT_CATEGORY_____NT&t=ZQ%3D%3D-138,1,0.0,1.0,2.0,Excellent,true,false
test/pass-through-https-cert/buzonelectronico2/buzon-operation/1.0/session?perfilId=1086&codComponente=MR&user-id=67f81daae59e50640105f9a8&session-id=36876298-bd2e-42b8-8b8e-2384879d9e47&component-code=MR&origin-code=e&user-rol=BUZON.SUPERVISOR.ENTIDAD&vuce-user-selected=1065&componente=MR-112,1,0.0,1.0,2.0,Excellent,true,false
